battery_id,cycle,Capacity,SOH,health,time_to_3_8V,time_to_3_6V,time_to_3_5V,time_to_3_4V,v_start,temp_mean,temp_max
B0005,1,1.8564874208181572,92.82437104090786,Healthy,417.281,1351.203,2058.641,2839.937,4.191491807505295,32.572328114029,38.98218133148803
B0005,2,1.846327249719927,92.31636248599635,Healthy,435.563,1388.141,2115.688,2860.407,4.189773213846608,32.72523522519307,39.03339796678704
B0005,3,1.835349194223408,91.7674597111704,Healthy,435.437,1388.703,2116.094,2860.344,4.188186735991303,32.64286193755933,38.81879668981741
B0005,4,1.8352625275821128,91.76312637910564,Healthy,453.813,1388.375,2135.578,2860.907,4.188461118855572,32.51487646204882,38.7623045063458
B0005,5,1.8346455082120416,91.73227541060209,Healthy,453.734,1388.094,2134.516,2859.422,4.188298524761055,32.38234901543077,38.66539257343368
B0005,6,1.8356616600675493,91.78308300337747,Healthy,453.61,1406.656,2134.797,2879.453,4.188815807948604,32.43418218230641,38.75169504640032
B0005,7,1.8351461429226603,91.75730714613302,Healthy,471.437,1406.266,2152.656,2878.609,4.18839163793879,32.480416444757985,38.8207012322275
B0005,8,1.8257567905665535,91.28783952832768,Healthy,472.14,1408.109,2155.531,2881.547,4.188927891511958,32.41046186109587,38.51713023385634
B0005,9,1.8247738529891333,91.23869264945667,Healthy,471.953,1406.984,2153.687,2879.891,4.189029250882121,32.3461408313,38.526267904657
B0005,10,1.824613268496936,91.2306634248468,Healthy,471.704,1407.407,2154.079,2860.719,4.189223427076418,32.27679750791685,38.52698128472781
B0005,11,1.8246195526864504,91.23097763432251,Healthy,471.969,1407.125,2154.453,2861.484,4.188916055911241,32.15709350345252,38.54143406601644
B0005,12,1.814201935767392,90.7100967883696,Healthy,490.36,1406.688,2154.657,2861.563,4.189876247266316,32.36407129853099,38.52197451768004
B0005,13,1.8137521577549052,90.68760788774526,Healthy,489.984,1407.375,2154.719,2861.063,4.189286794768804,32.3181954403762,38.582485834057856
B0005,14,1.8134404914735824,90.67202457367912,Healthy,489.844,1406.641,2135.422,2860.828,4.188837765892728,32.15709029211502,38.52029413487392
B0005,15,1.8025980036306504,90.12990018153252,Healthy,489.906,1406.938,2135.359,2841.891,4.189110301768517,32.044070003146096,38.21358592965045
B0005,16,1.80210690024615,90.10534501230751,Healthy,490.625,1388.453,2134.563,2840.766,4.18921207304098,31.931593674911532,38.1983618706913
B0005,17,1.802579500826209,90.12897504131045,Healthy,490.484,1388.672,2117.031,2841.766,4.188899969428112,31.941655359029298,38.31926916027133
B0005,18,1.8030683142834096,90.15341571417048,Healthy,490.422,1389.375,2116.844,2822.812,4.188779799856791,31.965008645476725,38.4787542519308
B0005,19,1.802777624719604,90.1388812359802,Healthy,490.156,1388.063,2116.219,2822.391,4.189272591516219,31.966241678512723,38.54659017774874
B0005,20,1.8470259949329195,92.35129974664598,Healthy,490.312,1426.062,2192.437,2919.703,4.187614060563439,32.37143341978575,38.44749852224995
B0005,21,1.847417311283644,92.3708655641822,Healthy,490.031,1444.391,2211.641,2920.422,4.187628781108399,32.70024990461686,38.992275791716615
B0005,22,1.8361774213478947,91.80887106739473,Healthy,490.688,1426.516,2193.657,2901.328,4.187447226312926,32.32266411829938,38.51424197364312
B0005,23,1.825780747577624,91.2890373788812,Healthy,490.125,1407.719,2173.625,2901.438,4.187344026387161,31.98795810666763,38.165816144899125
B0005,24,1.8251136435078368,91.25568217539184,Healthy,490.453,1406.844,2154.359,2881.0,4.187438187636325,31.894456524691385,38.16526203587147
B0005,25,1.825581504220376,91.2790752110188,Healthy,490.531,1407.406000000003,2154.9689999999973,2881.8120000000054,4.18774138117799,31.78039681801023,38.27549578575718
B0005,26,1.814031127508391,90.70155637541954,Healthy,489.5,1387.891,2134.938,2861.032,4.188261122540052,31.688747146342205,37.98216079918311
B0005,27,1.8147691941158937,90.73845970579468,Healthy,471.906,1389.672,2136.39,2862.593,4.187338767288234,31.596747992569153,38.11100191887773
B0005,28,1.813969388710352,90.69846943551761,Healthy,471.984,1388.188,2115.953,2841.422,4.187560306288175,31.565586498787077,38.18831137948753
B0005,29,1.802765665167823,90.13828325839116,Healthy,472.218,1369.906,2116.109,2841.312,4.18805176248713,31.59124667045208,37.99854111908584
B0005,30,1.804077040117352,90.2038520058676,Healthy,471.984,1370.937,2099.141,2824.391,4.187667484260542,31.603485399391182,38.194201649765226
B0005,31,1.8518025516704488,92.59012758352245,Healthy,506.375,1396.312,2136.625,2904.812,4.2010701773378685,31.91556385491565,38.45796400011448
B0005,32,1.8307038456739428,91.53519228369714,Healthy,506.469,1396.734,2146.0,2876.797,4.1996223345495824,32.081128118597164,38.49126351534004
B0005,33,1.8199041089501269,90.99520544750635,Healthy,497.406,1378.094,2118.078,2857.797,4.199853323702163,31.849792632896243,38.31473393357882
B0005,34,1.809307963702852,90.4653981851426,Healthy,487.953,1359.016,2089.485,2829.828,4.199103467081427,31.465690433362017,37.861934640176806
B0005,35,1.80460990458052,90.23049522902599,Healthy,488.047,1350.14,2071.656,2811.969,4.199998536865001,31.409348956650316,37.90665575786083
B0005,36,1.7993770651972192,89.96885325986096,Healthy,488.078,1350.344,2081.188,2811.672,4.19967522099872,31.902247475518077,38.34003238560517
B0005,37,1.7884432335370462,89.42216167685231,Healthy,487.875,1340.36,2052.11,2782.938,4.1991847248803165,31.649024294808623,38.0745950590744
B0005,38,1.7829230484252725,89.14615242126362,Healthy,478.469,1321.61,2033.61,2764.11,4.200012480335,31.48874626238971,38.07252758016199
B0005,39,1.7730337158018288,88.65168579009143,Healthy,469.218,1312.406,2015.046,2746.093,4.1992373656547874,31.329995610092634,37.80133585100446
B0005,40,1.773037755078937,88.65188775394685,Healthy,469.25,1303.0,2005.734,2736.25,4.199395781118708,31.569551201845574,38.39873985476869
B0005,41,1.7678721106662054,88.39360553331026,Healthy,478.625,1312.329,2014.891,2736.297,4.199578698026071,32.111426258867944,38.74929237918251
B0005,42,1.762315070409309,88.11575352046545,Healthy,478.609,1312.5,2005.625,2726.469,4.199546957512695,32.271676011112376,38.87275464755104
B0005,43,1.7676172924938447,88.38086462469224,Healthy,471.047,1294.297,1982.437,2741.984,4.194091469340824,31.842291659678658,38.503541429116005
B0005,44,1.762668359743147,88.13341798715734,Healthy,469.093,1293.75,1987.156,2708.265,4.200715235801255,31.759815453754253,38.27009094548294
B0005,45,1.7517304870664143,87.58652435332071,Healthy,459.734,1274.547,1949.015,2679.562,4.1990980807180325,31.41911167391793,38.11684755251712
B0005,46,1.7418496047960008,87.09248023980004,Healthy,450.281,1255.578,1930.312,2660.921,4.199398534411534,31.331626572312267,38.04152715355532
B0005,47,1.7360913511847138,86.8045675592357,Healthy,450.406,1246.594,1920.859,2641.859,4.199122915612965,31.35934131425137,38.17980302242767
B0005,48,1.7936240148573608,89.68120074286804,Healthy,506.719,1350.016,2080.656,2811.109,4.190409478081396,34.31088483888259,40.71218198711114
B0005,49,1.7831890223273277,89.15945111636638,Healthy,506.625,1340.203,2070.985,2792.469,4.199933846791869,33.43585640373787,39.88526123315293
B0005,50,1.7673642076278957,88.36821038139479,Healthy,488.204,1312.625,2015.079,2745.594,4.199365021329158,32.66698125020078,39.18287352945846
B0005,51,1.7570177850353066,87.85088925176532,Healthy,478.719,1284.219,1977.61,2708.344,4.19902365945384,32.28423408691397,38.95156480403077
B0005,52,1.7468706179837907,87.34353089918953,Healthy,469.516,1266.0,1950.063,2680.797,4.199432142144215,32.00739178780946,38.607510759873634
B0005,53,1.7417172507457144,87.08586253728572,Healthy,459.984,1255.937,1939.75,2661.187,4.199640922827531,32.06387071886056,38.920359903369054
B0005,54,1.7364225056478186,86.82112528239094,Healthy,469.015,1255.703,1930.234,2660.953,4.199305653118061,32.43754560319043,39.23273115358871
B0005,55,1.7263217239235826,86.31608619617913,Healthy,459.907,1237.36,1902.704,2624.0,4.198949734540481,32.16809876635083,38.9649270684008
B0005,56,1.7158065389330133,85.79032694665067,Healthy,450.172,1227.953,1883.609,2605.093,4.19834220599025,32.05752645824972,38.83927283461771
B0005,57,1.710533351135192,85.52666755675959,Healthy,441.078,1218.157,1864.485,2576.516,4.198995776266302,31.97592092807272,38.82796377704433
B0005,58,1.706014499648521,85.30072498242605,Healthy,441.203,1209.593,1865.343,2577.359,4.19916986492694,32.21689335291319,39.14007944734004
B0005,59,1.7003110272642588,85.01555136321294,Healthy,450.265,1209.156,1855.296,2557.937,4.199246833083063,32.55632993697177,39.349611598028886
B0005,60,1.6945798601797897,84.72899300898948,Healthy,441.219,1199.687,1836.703,2538.797,4.19925518864016,32.40048085325998,39.29444535878087
B0005,61,1.6849029086609286,84.24514543304643,Healthy,431.812,1190.781,1818.5,2520.687,4.199610827671791,32.29371860868794,39.10487658009542
B0005,62,1.6744741591159715,83.72370795579857,Healthy,422.454,1171.547,1789.797,2492.485,4.1994453812630566,32.136071448067796,39.0462609369598
